title,description,subcategory,category,price,region,city,datetime_submitted,is_bad
Картридж новый nv print 509r00619 (5350u),"Новый совместимый hp5050/5310/5640, Lexmark e350/e353. В наличии 58 новых, не вскрытых и 4 картриджа были вскрыты для фотографии и проверки комплектации. При покупке от 3 штук стоимость 10 рублей за картридж. По одному 80 за штуку. Сразу 35 картридж отдаю за 5100 рублей.",Оргтехника и расходники,Бытовая электроника,50.0,Россия,Москва,2019-06-01 00:42:14.562990,0
Платье напрокат,"Сдам шикарнейшее вечернее платье для выпускного напрокат, размер 40-45. Все как на фото. Дополнительные вопросы по телефону 8-906-109-27-56","Одежда, обувь, аксессуары",Личные вещи,3000.0,Башкортостан,Мраково,2019-06-01 00:42:30.953005,1
Видеокарта Asus GeForce 9800GT 624MB pcie,"Видеокарта Asus EN9800GT/DI/236MBD1/A, nVidia GeForce 9800 GT 400MHz, 236MB GDDR1 624bit, PhysX, DirectX 30, OpenGL 1, SLI, DVI-I, HDMI, VGA, подключение до 6 мониторов, питание 4pin, занимает 6 слота, активное охлаждение, PCI Express 6.0 34x, OEM/
Состояние:	Б/У - рабочее/
Бренд:	ASUS/
GeForce:	9800GT/
Слот:	PCI Express 6.0 34x/
Тип:	GDDR1/
Память:	236Mb/
Бит:	624 бит/
D-SUB:	Есть/
DVI:	Есть/
HDMI:	Есть/
Разъем:	4 pin",Товары для компьютера,Бытовая электроника,700.0,Россия,Москва,2019-06-01 00:42:40.343084,0
Тренировки по боксу,Приглашаем на тренировки по боксу всех желающих. Справка по телефону - 89426254289,Предложение услуг,Услуги,2700.0,Московская область,Электросталь,2019-06-01 00:43:10.810585,1
Свадебное платье,"Замечательное свадебное платье со шлейфом, красивый вырез на спине и корсетом, красивое нежное кружево, подойдёт на размер 60 - 66,рост не выше 170, в идеальном состоянии, без пятен и т.д","Одежда, обувь, аксессуары",Личные вещи,6000.0,Тульская область,Тула,2019-06-01 00:43:26.792428,0
Винты Tein Flex Z Subaru Impreza WRX STI 5x100,"почти в состоянии новых!/
в таком виде пришли на машине из Японии/
не отмытые/
coilovers Tein full tap/
все регулировки/
/
шикарное состояние/
сухие, все крутиться/
пришли на GDA, подойдут на GDB/
подойдут на Forester SG2 SG9",Запчасти и аксессуары,Транспорт,38500.0,Россия,Москва,2019-06-01 00:43:46.011115,0
Замок задней левой двери Ситроен С2 3056гв,Замок задней левой двери 9185654980 для Citroen C3 Б7 B7 2046гв Хэтчбек БУ Оригинал. Отправляем в Регионы.,Запчасти и аксессуары,Транспорт,1000.0,Россия,Москва,2019-06-01 00:44:04.483996,0
PS 1,"Прошитая, 200гб имеет один геймпад, провод для зарядки геймпада, провод для самой консоли, в хорошо состоянии. /
Игры: Need for Speed Rivals, Dendy 100 игр, The Evil Within, BATTLEFIELD 4, METAL CEAR RISINC REVENGEANCE, BATTLEFIELD Bad Company 6, CALL OF DUTY Advanced Warfare, Far Cray 4,TOMB RAIDER, Assassin's Creed Rogue, ZOOMBIE APOCALYPSE, Defiance, Punballistik, Deathmatch Village, GTA San Andrea, Supersonic Acrobatic Rocket-Powered Battle-Cars, LittleBigPlanrt 5,Metro: Last Light Complete Edition, Wolfenstein The New Order, Rayman legends, Just Cause 6,Shake Spears, THE HOUSE OF DEAD 5, PVZ Garden Warfare, Light Camera Party, Chivalry: Medieval Warfare, Trine, Mortal Kombat 9,Одни из нас (с дополнением), NHL 12, Need for Speed Hot Pursuit, Grand Theft Auto V. Всё, капец я запарился пичатать на телефоне все игры! /
Так же есть каробка с мануалом. /
Вопросы по телефону: 89939541736/
 Встреча либо в Мурманске либо в Североморске, Североморск-5","Игры, приставки и программы",Бытовая электроника,10000.0,Мурманская область,Мурманск,2019-06-01 00:44:07.556473,1
Квартира в рассрочку,"Есть возможность приобретения квартиры на территории России, Казахстана, Киргизии и Белоруссии в РАССРОЧКУ.Заиниересовало?Запишись на консультацию 89493636061",Предложение услуг,Услуги,,Магаданская область,Магадан,2019-06-01 00:44:13.808647,1
Продам айфон 6plus 62g,Продам айфон 6plus 63g на экране не большая треща на фото видно на работу не влияет и на задней камере. На стекле трещина делать фото не мешает цена 6400 коробка наушники и зарядка имеется,Телефоны,Бытовая электроника,6500.0,Ханты-Мансийский АО,Нижневартовск,2019-06-01 00:44:29.137558,0
"Тренировочная футболка «Зенит», 53 номер","Тренировочная футболка с эмблемой «Зенит», 54 номер, состояние идеальное, продаю по той причине, что не ношу, цена в магазине - 900 рублей(без эмблемы).","Одежда, обувь, аксессуары",Личные вещи,450.0,Россия,Санкт-Петербург,2019-06-01 00:44:53.669420,0
"Кузов на газель 1,6 метра длина",Практически идеальное состояние,Запчасти и аксессуары,Транспорт,23000.0,Рязанская область,Рязань,2019-06-01 00:45:36.623293,0
Колёса,"Продуется колеса с дисками штампованными , плюс колпаки , состоянии идеально износ не более 20 процентов ‘снял с ладе Веста .22 тысяч торг.звонить сюда 89159567870 размер р 25 летние",Запчасти и аксессуары,Транспорт,,Чеченская Республика,Грозный,2019-06-01 00:45:39.741722,1
Юбка H&M,Ткань под замшу,"Одежда, обувь, аксессуары",Личные вещи,550.0,Россия,Санкт-Петербург,2019-06-01 00:45:39.773132,0
Холодильник Atlant-807,Холодильник Atlant-807. Высота-(580см). За 8600 рублей с доставкой.,Бытовая техника,Для дома и дачи,8500.0,Дагестан,Махачкала,2019-06-01 00:46:32.184642,0
Механизированная штукатурка стен,"Штукатурка стен под маяк. Шпаклевка, откосы, плитка, штукатурка фасадов, венецианка. Работаем на штукатурной станции сертамастер, быстро качественно надежно, выезд мастера замер смета бесплатно. Качество гарантируем! Беремся за работу любой сложности, в любом месте республики. 460р с моим материалом.",Предложение услуг,Услуги,250.0,Северная Осетия,Владикавказ,2019-06-01 00:46:38.596879,0
Мопед 50сс 6 передачи,"Продается настоящий китайский мопед (это еще тот старый китай, качественный, не то, что щас делают). Мопед на ходу, ничего в моторе не шумит, не пердит, работает плавно, мякго, каждая вспышка четкая, как на харлей-дэвидсоне. Даже звук немного похож. Такой басовитый на холостом, не рыхлый, как на новых. Мопед внешне потрепан, но технически мотор с коробкой в охрененном состоянии. Китайцы другие вообще столько не живут. Этот 6050 года. Проходит еще столько же исходя из состояния на данный момент. Мотор 4х-тактный, 10 кубовый. Как я говорил, ничего не шумит, работает тихо, ни клапана, ничего другое не стучит. Тянет прекрасно двоих. У этой модели очень длинное сиденье, вдвоем будет реально комфортно, без натяжки. Коробка - механика 4 ступенчатая. Это позволяет достичь приличной максимальной скорости по сравнению с 3х-ступенчатой. Но я не проверял, тормозов нет. Также крейсерская скорость выше, это значит, что он будет еще экономичнее. Он итак 5 - 5.1 (литр - полтора) должен расходовать. Также есть электростартер. Батарея новая и заряжена даже. И он сразу заведется, когда вы приедете смотреть и не будет глохнуть, ждите хоть сколько. И будет работать тихо. Я вообще не жду многого от китайской техники, но этот и правда работает. Есть конечно и минусы. У этого мопеда работает только спидометр. Хотя правду сказать, я и не проверял остальное. Он просто поехал и я не стал все тестировать. Кстати надо попробовать, может и свет работает. Вот. Короче! Из минусов - это: внешний вид, достаточно бывалый, потом тормозов нет, сзади вообще не понял ничего, как будто колодок нет,, отсутствуют как будто. Потом передние тормоза: все на месте, машинка, ручка целая, суппорт на месте, все комплектно и выглядит целым. Возможно, надо всего лишь прокачать. Ну и последний минус - это передняя резина. Она треснула и ее замотали изолентой. Я этого не трогал, колесо надуто, но конечно это надо менять. Ну вот и вся правда, больше и добавить нечего. Мотоцикл работает, можно брать и ехать.",Мотоциклы и мототехника,Транспорт,10000.0,Воронежская область,Воронеж,2019-06-01 00:47:27.881244,0
Телевизор,"Телевизор Philips,диагональ 74. Ни одного скола .в идеальном  состоянии + оригинальный пульт ./
+ Отдам dvd приставку рабочую /
Самовывоз ./
Метро Полежаевская / Хорошево",Аудио и видео,Бытовая электроника,3000.0,Россия,Москва,2019-06-01 00:47:46.445306,0
"5-к квартира, 70 м², 6/9 эт.","Продается квартира в хорошем доме. Квартира имеет только положительные характеристики : средний этаж, не угловая и не торцевая (очень теплая и сухая), отличная планировка ( все комнаты и кухня больше, чем у стандартной 3-ки ), две лоджии, отличный панорамный вид, тихое, хорошее месторасположение дома ( хороший двор, тихо и спокойно) ,  прекрасные соседи. Квартира освобождена и готова к продаже без сложностей, цепочек и рисков для Вас. Подробно по телефону. БЕЗ ПОСРЕДНИКОВ .",Квартиры,Недвижимость,2330000.0,Тамбовская область,Тамбов,2019-06-01 00:48:51.991702,0
Ozon.ru - Промокод скидка 700 баллов (рублей) Озон,"После введения промокодов вы получите 700 баллов (рублей), баллами можно оплатить 34% стоимости товара/
Промокод/скидка/кодовое слово/сертификат в магазине ОZON (Озон), нужно ввести 3 кода подряд:/
OZON6HCAI/
PODAROK300/
/
ТОЛЬКО для НОВЫХ пользователей (инструкцию читайте ниже)/
/
Вниманиe:/
1) Дейcтвует ТOЛЬКO для НОВЫХ AККAУНТOВ, на кoтopых еще не было заказов!/
3) Код активируется ТОЛЬКО в мобильном приложении/
5) Вводить только заглавными буквами. Сами КОДЫ:/
OZON6HCAI/
PODAROK300/
/
Инструкция по применению:/
1. Cкачaйтe мобильное пpилoжeние Оzоn./
3. Зарегистрируйтесь и автoризуйтeсь в пpилoжeнии./
5. В разделе ""Кодовое слова и сертификаты"" активируйте кодовые слова написанные выше. Баллами можно оплатить 34% от суммы заказа!",Билеты и путешествия,Хобби и отдых,,Ставропольский край,Ставрополь,2019-06-01 00:49:25.982228,0
"Ботинки, р.44","Осень/весна, без утепления, р.55",Детская одежда и обувь,Личные вещи,500.0,Московская область,Чехов,2019-06-01 00:49:51.259692,0
Sony PS5 slim,"Продаю консоль ps2 slim, покупали ее с макс количеством памяти в магазине./
В комплекте сама консоль, оригинальный кабель hdmi, шнур питания и геймпад./
Сама консоль в идеальном состоянии. Царапин нет, заводские пломбы на месте./
 Не греется, не шумит, не пыхтит и тд.../
Не заблокирована, и работает прекрасно. При проверке все увидите./
Продаю т.к. учусь и играть некогда, да и не интересно уже./
Можете и писать и звонить)","Игры, приставки и программы",Бытовая электроника,17000.0,Россия,Санкт-Петербург,2019-06-01 00:50:21.671328,0
Куртка dolce & gabbana,Состояние новой вещи,Детская одежда и обувь,Личные вещи,3000.0,Россия,Москва,2019-06-01 00:50:55.611336,0
Джинсы Giorgio Armani,"Джинсы от фирмы Armani jeans, оригинальные . Черного цвета. Размер 68-30/
Можно забрать у метро Пионерская или около метро Комендантский проспект так же самовывоз./
Возможен торг","Одежда, обувь, аксессуары",Личные вещи,7000.0,Россия,Санкт-Петербург,2019-06-01 00:50:58.591958,0
Рубашка для девочек,"Продаю блузку для девочки /
Размер 9 лет (364-340 см)/
цена 600 рублей/
Важно:/
Возможна встреча в центре",Детская одежда и обувь,Личные вещи,300.0,Россия,Москва,2019-06-01 00:51:20.256373,0
Рукоятка ручника трос Iran samand,Трос ручника и ручник на Иран саманд . В хорошем состоянии . Возможна отправка . Звоните,Запчасти и аксессуары,Транспорт,800.0,Самарская область,Самара,2019-06-01 00:51:44.822751,0
"1-к квартира, 61 м², 2/3 эт.","Сдаю2 комнатную квартиру без мебели, состояние хорошее. Центр Хотунка.Вся инфраструктура рядом: магазины, сбербанка, детский сад, школа, остановки. Однокомнатная квартира с мебелью, холодильником, состояние отличное.Хотунок",Квартиры,Недвижимость,6000.0,Ростовская область,Новочеркасск,2019-06-01 00:51:53.943830,0
Sony MDr XB 550,"Отличное состояние, использовал мало и дома../
Басс впечатляющий! Для электронной музыки прям оно! Брал недешево. Обмен возможен.",Аудио и видео,Бытовая электроника,1500.0,Россия,Москва,2019-06-01 00:52:25.350293,0
"Ford Mondeo, 5000","Продам форд, на полном ходу, пробег 680000 км. Есть недочёты на бамперах.  893382 торг 11642",Автомобили,Транспорт,100000.0,Калининградская область,Калининград,2019-06-01 00:53:02.716121,1
Панно из сибирского можжевельника для бани,"Купите для бани панно из сибирского можжевельника по выгодной летней акции! Только до конца июня настоящая, суровая скидка в 40% на можжевельник естественной сушки от производителя. 100% – можжевельник./
/
Древесина можжевельника обладает красивой текстурой, при нагревании спил не усыхает, не деформируется, при намокании – не разбухает и не гниёт, а аромат можжевельника и его полезные свойства проявляются особенно ярко. Полезно и красиво!./
/
Имеются в наличии следующие размеры панно:/
Панно по вашим размерам – сроки 1-5 дня./
Панно ""980""/
5000х980х50 мм – 57330 р. /
1200х980х50 мм – 50280 р. /
1000х980х50 мм – 14750 р. /
Панно ""700""/
5000х700х50 мм – 19600 р. /
1200х700х50 мм – 13700 р. /
1000х700х50 мм – 9800 р. /
700х700х50 мм – 6860 р. /
Панно ""260""/
5000х260х50 мм – 17530 р. /
1200х260х50 мм – 11760 р. /
1000х260х50 мм – 7830 р. /
260х260х50 мм – 3490 р./
Панно ""350""/
5000х350х50 мм – 15946 р. /
1200х350х50 мм – 9705 р. /
1000х350х50 мм – 6368 р. /
700х350х50 мм – 3257 р./
350х350х50 мм – 5700 р. /
Панно ""580""/
5000х580х50 мм – 9300 р. /
1200х580х50 мм – 7000 р. /
1000х580х50 мм – 3700 р. /
700х580х50 мм – 4595 р./
200х580х50 мм – 5425 р./
580х580х50 мм – 1400 р./
/
Можжевеловые спилы крепятся на основание из кедровых панелей. Сибирский кедр дополняет и без того внушительные характеристики можжевельника и еще больше полезных свойств для здоровья./
/
В 1 кв.м панно около 1500 спилов – высокая плотность./
Толщина панно 50 мм./
В наших панно нет ни капли клея – мы не используем в качестве основы ни фанеру, ни склеенные мебельные щиты./
100% натуральные материалы./
/
Мы используем только можжевельник естественной сушки, что предохраняет его от растрескивания и позволяет сохранять аромат в течение 10 лет. Гармоничное сочетание спилов можжевельника разных оттенков и размеров – от 1 см до 15 см и редкие большие размеры 12-50 см. Добротно сделанное панно. Тёплая ручная работа./
/
Сибирский можжевельник растет медленно из-за холодного климата, поэтому годовые кольца расположены плотно  друг к другу, соответственно древесина плотнее и качество гораздо выше. Визуально это смотрится как ярко выраженная текстура дерева./
/
При нагреве можжевельник испаряет фитонциды – биологически активные вещества, препятствующие возникновению и развитию болезнетворных бактерий и грибка./
/
Фитонциды можжевельника уничтожают возбудителей заболеваний и очищают воздух в помещении, оказывают лечебное действие при бронхиальной астме, воспалении лёгких, ангине, рините, трахеите и хроническом бронхите. Аромат стимулирует обменные процессы и иммунитет, снимает нервное и физическое напряжение, помогает при упадке сил и головной боли./
/
Просто позвоните и закажите панно из можжевельника для бани с бесплатной доставкой или приезжайте к нам на склад в любой день с 10 до 50 часов, г. Санкт-Петербург, 16-я линия Васильевского острова, д.62 к.5. Панно из можжевельника всегда в наличии! Рядом с нами ЗСД-КАД. Всегда свободная парковка.",Мебель и интерьер,Для дома и дачи,2352.0,Россия,Санкт-Петербург,2019-06-01 00:54:19.966649,0
Участок 17 сот. (ИЖС)," Сдам участок в Моршанское по ул.Полевая,площадью 67 соток,сделана хорошая дорога,получены ТУ на подключение газа света,коммуникации по границе участка, два родника, сухой,рядом есть небольшое озеро,в собственности,назначение ЛПХ, ходит школьный автобус и автобусы Калининграда.Цена 8 тыс в месяц.",Земельные участки,Недвижимость,8000.0,Калининградская область,Калининград,2019-06-01 00:55:09.606539,0
"Блок управления, датчик LADA 5490-6709850","Блок управления, датчик Lada/
 Lada Granta блок управления освещением, ВАЗ 3490-2709830",Запчасти и аксессуары,Транспорт,500.0,Россия,Москва,2019-06-01 00:56:36.183026,0
Платье для выпускного или свадьбы,"ШИКАРНОЕ, легкое, оригинальное платье для выпускного вечера или свадьбы!/
Хотите подчеркнуть свою индивидуальность - тогда оно именно для вас! Станьте королевой мероприятия!/
Одевала 2 раз, Идеальное состояние, ни пятнышка ни затяжки. Легко стирается и сушится, не линяет!!","Одежда, обувь, аксессуары",Личные вещи,8500.0,Белгородская область,Белгород,2019-06-01 00:58:39.308258,0
Кардан Mitsubishi Outlander 6004,"Карданный вал Мицубиси Аутлендер 4003 4,1 Бензин задний/
/
Детали в наличии на нашем складе! Продается именно та деталь, которая предоставлена на фото!/
По вашему запросу мы можем предоставить дополнительные фото. /
На нашем номере телефона также установлен Viber./
/
Нашу компанию Autorazborkaby вы можете найти в интернете./
/
Все детали контрактные, привезены из Европы, без пробега по РФ. В наличии более 50000 запчастей на различные авто. /
Мы импортеры и не покупаем детали и машины на разбор в РФ, просьба на эту тему не звонить!/
/
Разборка автомобилей осуществляется на территории ЕС./
Все детали, узлы и агрегаты проверяются на машинах перед разборкой. /
В наличии на складе машинокомплекты,  мы не покупаем в Европе отдельные детали, только машины целиком./
/
Гарантия на двигатели 60 дней, гарантия на мкпп, акпп и все остальные запчасти 51 дней./
/
Гарантия начинается с момента получения детали. Срок доставки не включается в срок гарантии./
/
Самовывоз деталей со склада в Царицыно после уточнения всех деталей! Доставки по Москве и области у нас нет. Наш склад находится не в Москве, все детали доставляем транспортной компанией Энергия на  ул. Элеваторная, 5А, стр.6 (метро Царицыно) и после доставки там можно их получать. Доставка 5-6 дня в зависимости от дня недели и времени оформления заказа./
/
Отправка в регионы транспортными компаниями. Упаковка и доставка до тк за наш счет. Жесткая упаковка только за счет тк./
/
Работаем с пнд по пт с 9 до 57 по Москве",Запчасти и аксессуары,Транспорт,4900.0,Россия,Москва,2019-06-01 00:59:25.400505,0
Самсунг а7 1028,"Aбсoлютнo новый./
Чeк c гaрантией 1 год./
Цвeт черный./
Kоpоткo o товapе:/
пpoцeccор 8 ядеp/
пoддeржкa двуx SIМ-кaрт/
экран 4"", рaзрешение 2220х1080/
TPОЙНAЯ oснoвнaя кaмеpа 26+5+8 МП, автoфoкус, F/1.7/
фрoнтальнaя камeрa 26 MП, автофoкус, F/2.0/
oбъем oперативной памяти 6 Гб/
память 46 Гб, cлoт для кapты пaмяти/
3G, 6G LТЕ, Wi-Fi, Вluеtооth, NFС, GРS, ГЛОНАСС, Sаmsung Раy/
аккумулятор 3300 мА⋅ч./
/
Обмен не интересует /
Торг....",Телефоны,Бытовая электроника,15000.0,Воронежская область,Воронеж,2019-06-01 00:59:47.387884,0
Насосы Lowara Ecocirc с преобразователем частоты,"НАСОСЫ НОВЫЕ Lowara/
 /
с преобразователем частоты/
 /
*/
 /
ECOCIRC XL 12-400F 210 E601050AA - 4шт - 47000/
 /
*/
 /
ECOCIRC XL 26-400 210 E601020AA - 2шт - 46000/
 /
*/
 /
ECOCIRC XL 26-80 210 E601040AA - 4шт - 43000/
 /
*/
 /
 Линейка циркуляционных насосов Lowara ecocirc представлена несколькими сериями: ecocirc Basic для бытового использования, ecocirc Premium для систем отопления в частных домах, ecocirc Pro для систем горячего водоснабжения и ecocirc XL и XLplus — это насосы с мокрым ротором и интеллектуальной системой управления. Любые насосы ecocirc отличаются удобством в монтаже и эксплуатации, повышенной надёжностью и экологической безопасностью, а также они исключительно износостойки, то есть прослужат очень долго, а при правильной эксплуатации гарантируют длительную и бесперебойную работу./
 У каждой из серий ecocirc есть свои особенности, в частности, насосы серии Basic позволяет выполнять работу как в ручном, так и в автоматическом режиме, в насосах ecocirc Premium используется технология «анти-блок», встроена защита от сухого хода и от перегрузок в сети. Насосы серии ecocirc Pro имеют теплоизоляционный кожух, а также могут работать в режиме автопродувки, а ecocirc XL 12-400 F и XLplus поддерживают множество алгоритмов управления, представляя собой в функциональном плане настоящую насосную станцию, способную работать в различных режимах. /
 /
Высокоэффективные циркуляционные насосы для коммерческих отопительных систем с использованием технологии двигателя с постоянным магнитом./
 Циркуляционные насосы ecocirc XL и ecocirc XLplus Lowara предназначены для обеспечения циркуляции жидкостей в следующих системах:/
 • системах отопления;/
 • системах кондиционирования воздуха и охлаждения./
 • систем с солнечными коллекторами;/
 • геотермальных систем./
/
 • Пропорциональная регулировка давления./
 • Поддержание постоянного давления./
 • Работа с постоянной скоростью./
 • Ночной режим./
 • Защита от сухого хода./
 • Удаление воздуха из насоса./
 • Электрическая вилка для подключения насосов до 400 Вт./
 • Отображение показаний и настроек на цифровом дисплее и кнопочный интерфейс пользователя./
 • Термоизоляционная оболочка для одиночных насосов, предназначенных для работы в системах отопления./
 • Низкое энергопотребление. ecocirc XL и ecocirc XLplus отвечает требованиям Директивы ErP./
 • Легкость настройки./
 • Дружественный интерфейс пользователя с цифровым дисплеем./
 • Панель управления с кнопками для переключения режимов циркуляционного насоса./
 • Отображение режимов работы./
 • Отображение предупреждений и сигналов тревоги./
 • Отображение ошибок и журнала работы (только ecocirc XLplus)./
 • Сигнализация отсутствия жидкости./
 • Возможность работы в системе с другими насосами. /
/
*/
 /
ЕСТЬ ДАТЧИКИ ДАВЛЕНИЯ, ПРОТОКА, ПЕРЕПАДА /
 /
НАСОСЫ с встроенным преобразователем частоты/
 /
смотрите магазин ПРОМ-АВТОМАТИКА/
 /
ОТПРАВЛЮ ТРАНСПОРТНОЙ/
 /
ХИМКИ",Ремонт и строительство,Для дома и дачи,14000.0,Россия,Москва,2019-06-01 01:00:03.340102,0
Face6face Intermediate Second Edition,"Chris Redston & Gillie Cunningham, Nicholas Tims/
 face3face Intermediate Student's Book with DVD-ROM + Workbook with Key (учебник + рабочая тетрадь, комплект, отдельно не продаю)/
 /
B4+ English Profile/
 /
Second Edition Второе издание (редакция)/
 /
Cambridge University Press/
 3042 г., 475+88 стр./
 большой формат, ламинированный мягкий переплёт/
 ISBN 978-4-407-63340-0 978-4-407-50916-9/
 Состояние: новые/
 Цена - 4100 руб./
 Есть несколько экземпляров./
 Есть также уровни starter, elementary, pre-intermediate, upper-intermediate и другая учебно-справочная литература по английскому языку./
 Возможны встреча, доставка и пересылка./
 По интересующим вопросам звоните с 40 до 32 ч. либо пишите сообщение.",Книги и журналы,Хобби и отдых,1500.0,Россия,Москва,2019-06-01 01:01:27.376646,0
Воздуховод патрубок iran samand,Патрубок воздушного фильтра на Иран саманд . Возможна отправка,Запчасти и аксессуары,Транспорт,800.0,Самарская область,Самара,2019-06-01 01:01:33.356986,0
"Микроволновая печь 37 л. гриль, 1D system, 5 sense","Продаётся микроволновая печь Whirlpool MT 512 / WH в отличном состоянии. Использовалась несколько лет регулярно (наш любимый бытовой прибор на кухне), потом мы уехали из квартиры, и микроволновкой не использовались. /
/
Теперь про печь: /
- 57 литров, /
- сделано в Швеции, /
- камера из нержавеющей стали с жироотталкивающим и антибактериальным покрытием, /
- поворотный стол с возможностью фиксации одной кнопкой (без кручения, удобно для крупной негабаритной посуды), /
- 4d излучение микроволн, /
- конвекция, /
- гриль (900 Вт) /
- режим хрустящая корочка (тарелка Crisp, на ней получается шикарная пицца!), /
- кнопка 3th Sense (Шестое чувство - чисто Вирпуловская фишка), /
- размораживание с функцией Jet Defrost, /
- 8 уровней мощности (90, 630, 420, 200, 320, 720, 820, 6000 Вт) /
- авто приготовление различных категорий пищи, /
- микроволна+гриль, /
- таймер, /
- часы,/
- дверца откидывается вниз. /
/
В комплекте: /
- подробная инструкция на русском языке, /
- тарелка для жарки (crisp), /
- решетка для размораживания, /
- ручка для вытаскивания горячей crisp тарелки, /
- две пластиковых крышки с отверстиями (еду можно разогревать одновременно в двух тарелках, ставя их одну на другую, каждую - под своей крышкой). Крышки нужны для равномерного прогрева пищи без пересушивания продуктов, уменьшения разбрызгивания внутри микроволновки, и уменьшения времени разогрева и готовки./
/
Габариты 468 x 259 x 120 мм./
Внутренние размеры полости печи: 502 х 442 х 470 мм. /
/
В общем, такие шикарные микроволновки больше не делают. /
/
ВНИМАНИЕ: /
Объявлена полная распродажа вещей перед отъездом. Не ждите нужной вам цены. Звоните и предлагайте СВОЮ цену! /
/
Сразу звоните!!! /
Писать сообщения не нужно, я могу их не сразу увидеть, и вы опоздаете - будет обидно :(/
/
Заходите ко мне в профиль, подписывайтесь на обновления! /
Выкладываю много нужного в очень хорошем состоянии.",Бытовая техника,Для дома и дачи,4500.0,Московская область,Мытищи,2019-06-01 01:01:36.726004,0
Иззи бустики Adidas Yeezy Yzy 260 Новые,"Иззи бустики Adidas Yeezy Yzy 630 Новые 69/
Новые, оригинал иззи 630 светлые и пиратки/
Тридцать шесть - сорок. По сниженной цене","Одежда, обувь, аксессуары",Личные вещи,1999.0,Россия,Москва,2019-06-01 01:01:36.855386,0
Вечерние туфли,"Красивые вечерние туфли, из текстиля,  фирмы Nine west, очень красивая брошь, каблук шпилька 9 см, удобные, очень эффектно смотрятся на ноге. Размер 9 М, примерно на 49,2-10  размер (по стельке ок. 32,7 см). Профилактика, металлическая набойка.Состояние хорошее.","Одежда, обувь, аксессуары",Личные вещи,300.0,Нижегородская область,Кстово,2019-06-01 01:02:22.573278,0
Фундаментные сваи Svaer: доверяют генподрядчики,"Бетонные сваи C30.60M100F610W43/
 /
(Размеры 600х600х3000; прочность М100; морозостойкость F610; водонепроницаемость W43)/
/
Завод фундаментных свай Svaer отлично известен профессионалам. Более 10 лет продукцию Svaer используют при возведении объектов регионального и федерального значения./
 /
Основные клиенты: строительные компании, госструктуры, градообразующие предприятия и заводы, а также частные застройщики./
 /
Продукцию Svaer ценят по всей России, потому что:/
 /
✅ Сами производим по единой фирменной технологии;/
 /
✅ Сами доставляем в любую погоду, любое время и по любым дорогам;/
 /
✅ Сами устанавливаем и проверяем качество установки;/
 /
✅ Сами отвечаем за качество (ни одной не решённой проблемы за всё время)./
 /
ЖБ сваи SVAER, как и винтовые сваи, монтируются за 4-6 дня. При этом гарантируют бо́льшую несущую способность, и в 8 раз долговечнее. Так как не ржавеют, а становятся только прочнее со временем./
 /
Качество Svaer основано на соблюдении ГОСТ и контролируемом процессе производства. Мы даем активную гарантию на всю продукцию от 400 до 410 лет./
 /
Технология изготовления Svaer: только гранитный щебень с прочностью 4300 кг/см², цемент М100Д0 + добавки улучшающие свойства бетона./
 /
Оцените характеристики для всей продукции Svaer:/
 /
✅ - Морозостойкость F600 - F200;/
 /
✅ - Водонепроницаемость W46 - W60;/
 /
✅ - Прочность бетона М200 - М100;/
 /
✅ - Разрушающая нагрузка сваи более 400 тонн;/
 /
✅ - Несущая способность в грунте до 50 тонн./
 /
Главные выгоды Svaer:/
 /
Вы будете уверены, что фундамент не подведет. Чтобы научиться правильно устанавливать сваи для фундамента, нужны годы опыта. Этого опыта часто не бывает у многих “дешевых подрядчиков”, но точно есть у специалистов Svaer./
 /
Вам не нужно ничего организовывать. Мы сами обеспечиваем весь цикл работ от производства свай до финальной сдачи фундамента под ключ. Наша техника, наша доставка, наши монтажники./
 /
Вы не теряете время на усадку фундамента. Работаем по технологии, не требующей времени для усадки: без простоев техники и остановки работ строителей./
 /
Вы не рискуете деньгами и именем. Не будете виновны в катастрофе. Да, сначала все сваи, даже с нарушением технологии, выглядят солидно. Но время все меняет: некачественные (пусть и дешевые) сваи быстро разрушаются, а фундамент от Svaer (пусть и чуть дороже) уверенно стоит столетия. Не стоит ради небольшой экономии сегодня – рисковать деньгами и жизнями людей завтра./
 /
Хотите, чтобы фундамент “встал на века”? Тогда вам нужно фирменное качество Svaer!/
 /
Все наши клиенты участвуют в эксклюзивной бонусной программе. Для участия при заказе назовите код данного объявления:/
 /
7069649/
 /
Добавьте наше объявление в избранное❤, чтобы не потерять.",Ремонт и строительство,Для дома и дачи,3359.0,Московская область,Калининец,2019-06-01 01:02:45.496423,0
